id,img,gt,fold,label
0,ct_2d/BCIHM_049_000.npy,mask_2d/BCIHM_049_000_seg.npy,3,0.0
1,ct_2d/BCIHM_049_001.npy,mask_2d/BCIHM_049_001_seg.npy,1,0.0
2,ct_2d/BCIHM_049_002.npy,mask_2d/BCIHM_049_002_seg.npy,2,0.0
3,ct_2d/BCIHM_049_003.npy,mask_2d/BCIHM_049_003_seg.npy,2,0.0
4,ct_2d/BCIHM_049_004.npy,mask_2d/BCIHM_049_004_seg.npy,1,0.0
5,ct_2d/BCIHM_049_005.npy,mask_2d/BCIHM_049_005_seg.npy,2,0.0
6,ct_2d/BCIHM_049_006.npy,mask_2d/BCIHM_049_006_seg.npy,1,0.0
7,ct_2d/BCIHM_049_007.npy,mask_2d/BCIHM_049_007_seg.npy,2,0.0
8,ct_2d/BCIHM_049_008.npy,mask_2d/BCIHM_049_008_seg.npy,2,0.0
9,ct_2d/BCIHM_049_009.npy,mask_2d/BCIHM_049_009_seg.npy,3,0.0
10,ct_2d/BCIHM_049_010.npy,mask_2d/BCIHM_049_010_seg.npy,2,0.0
11,ct_2d/BCIHM_049_011.npy,mask_2d/BCIHM_049_011_seg.npy,3,0.0
12,ct_2d/BCIHM_049_012.npy,mask_2d/BCIHM_049_012_seg.npy,1,0.0
13,ct_2d/BCIHM_049_013.npy,mask_2d/BCIHM_049_013_seg.npy,1,436.0
14,ct_2d/BCIHM_049_014.npy,mask_2d/BCIHM_049_014_seg.npy,4,1156.0
15,ct_2d/BCIHM_049_015.npy,mask_2d/BCIHM_049_015_seg.npy,0,1080.0
16,ct_2d/BCIHM_049_016.npy,mask_2d/BCIHM_049_016_seg.npy,4,1130.0
17,ct_2d/BCIHM_049_017.npy,mask_2d/BCIHM_049_017_seg.npy,1,0.0
18,ct_2d/BCIHM_049_018.npy,mask_2d/BCIHM_049_018_seg.npy,3,0.0
19,ct_2d/BCIHM_049_019.npy,mask_2d/BCIHM_049_019_seg.npy,3,263.0
20,ct_2d/BCIHM_049_020.npy,mask_2d/BCIHM_049_020_seg.npy,0,890.0
21,ct_2d/BCIHM_049_021.npy,mask_2d/BCIHM_049_021_seg.npy,2,731.0
22,ct_2d/BCIHM_049_022.npy,mask_2d/BCIHM_049_022_seg.npy,0,383.0
23,ct_2d/BCIHM_049_023.npy,mask_2d/BCIHM_049_023_seg.npy,3,0.0
24,ct_2d/BCIHM_049_024.npy,mask_2d/BCIHM_049_024_seg.npy,4,0.0
25,ct_2d/BCIHM_049_025.npy,mask_2d/BCIHM_049_025_seg.npy,2,0.0
26,ct_2d/BCIHM_049_026.npy,mask_2d/BCIHM_049_026_seg.npy,3,109.0
